country_name,modern_country_name,year,land_size,land_size_plus,continent_size,continent_ratio,dominant_soil,soil_ratio,ore_deposit,dominant_landscape,landscape_ratio,natural_forestation_ratio,max_degree_north,max_degree_south,climate_dominant,climate_t2_dominant,climate_t3_dominant,count_boundaries,longest_border,border_ratio,country_borders,desert_borders,mountain_borders,open_borders,sea_borders,water_borders,if_independent,system_type,sub_system_type,economic_type,if_rich
Republic of Austria,Austria,2026,83 871,0,10 498 000,0.00798924,Leptosol,"0,62",1,Mountains,"0,62","0,47",49,"46,3",Continental,Without dry season,Warm summer (b),9,mountain,"0,521",8,0,4,4,0,1,Yes,Federal,Democratic,Social Capitalism,3
Kingdom of Belgium,Belgium,2026,30 528,0,10 498 000,0.00290798,Luvisol,"0,65",1,Plains,"0,65","0,23","51,5","49,5",Temperate,Without dry season,Warm summer (b),5,loose,"0,955",4,0,0,4,1,0,Yes,Federal,Democratic,Social Capitalism,3
Republic of Bulgaria,Bulgaria,2026,110 994,0,10 498 000,0.01057287,Luvisol,"0,45",1,Hills,"0,41","0,35","44,2","41,2",Temperate,Without dry season,Hot summer (a),7,loose,"0,7812",5,0,2,4,1,0,Yes,Unitary,Restricted,Social Capitalism,2
Republic of Croatia,Croatia,2026,56 594,0,10 498 000,0.00539093,Luvisol,"0,54",0,Archipelagic,"0,54","0,34","46,5","42,3",Temperate,Without dry season,Hot summer (a),7,sea,"0,706",5,0,1,4,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Republic of Cyprus,Cyprus,2026,9 251,0,10 498 000,0.00088122,Leptosol,"0,5",0,Archipelagic,"0,5","0,19","35,7","34,5",Temperate,Dry summer,Hot summer (a),1,sea,1,0,0,0,0,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Czech Republic,Czechia,2026,78866,0,10498000,0.00751248,Luvisol,"0,7",1,Hills,"0,7","0,34",51,"48,5",Continental,Without dry season,Warm summer (b),4,mountain,"0,6425",4,0,3,1,0,0,Yes,Unitary,Democratic,Social Capitalism,2
Kingdom of Denmark,Denmark,2026,43094,2166086,10498000,0.00410497,Luvisol,"0,95",0,Archipelagic,"0,95","0,15","57,7","54,5",Temperate,Without dry season,Warm summer (b),3,sea,"0,9908",1,0,0,1,2,0,Yes,Unitary,Democratic,Social Capitalism,3
Republic of Estonia,Estonia,2026,45227,0,10498000,0.00430815,Luvisol,"0,8",0,Plains,"0,95","0,51","59,7","57,5",Continental,Without dry season,Cold summer (c),4,sea,"0,8965",2,0,0,2,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Republic of Finland,Finland,2026,338424,0,10498000,0.03223700,Leptosol,"0,8",1,Plains,"0,8","0,73","70,1","59,8",Continental,Without dry season,Cold summer (c),5,sea,"0,6853",3,0,1,2,1,1,Yes,Unitary,Democratic,Social Capitalism,3
French Republic,France,2026,543940,89169,10498000,0.05181368,Luvisol,"0,6",1,Plains,"0,6","0,31","51,1","41,3",Temperate,Without dry season,Warm summer (b),9,sea,"0,5426",8,0,4,3,1,1,Yes,Unitary,Democratic,Social Capitalism,3
Federal Republic of Germany,Germany,2026,357022,0,10498000,0.03400857,Luvisol,"0,45",1,Hills,"0,45","0,32","55,1","47,3",Temperate,Without dry season,Warm summer (b),11,loose,"0,4396",9,0,2,6,2,1,Yes,Federal,Democratic,Social Capitalism,3
Hellenic Republic,Greece,2026,131957,0,10498000,0.01256973,Leptosol,"0,8",1,Archipelagic,"0,8","0,3","41,7","34,8",Temperate,Dry summer,Hot summer (a),5,sea,"0,9191",4,0,2,2,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Hungary,Hungary,2026,93030,0,10498000,0.00886169,Luvisol,"0,7",1,Plains,"0,85","0,21","48,6","45,7",Continental,Without dry season,Warm summer (b),8,loose,1,7,0,0,7,0,1,Yes,Unitary,Restricted,Social Capitalism,2
Ireland,Ireland,2026,70273,0,10498000,0.00669394,Luvisol,"0,75",0,Archipelagic,"0,75","0,11","55,4","51,4",Temperate,Without dry season,Warm summer (b),2,sea,"0,876",1,0,0,1,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Italian Republic,Italy,2026,301340,0,10498000,0.02870452,Luvisol,"0,4",1,Mountains,"0,4","0,32","47,1","35,5",Temperate,Dry summer,Hot summer (a),7,sea,"0,7973",6,0,4,2,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Republic of Latvia,Latvia,2026,64589,0,10498000,0.00615251,Luvisol,"0,8",0,Plains,"0,98","0,54","58,1","55,7",Continental,Without dry season,Warm summer (b),4,sea,"0,7314",4,0,0,4,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Republic of Lithuania,Lithuania,2026,65300,0,10498000,0.00622023,Luvisol,"0,8",0,Plains,"0,98","0,35","56,5","53,9",Continental,Without dry season,Warm summer (b),4,loose,"0,9385",4,0,0,4,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Grand Duchy of Luxembourg,Luxembourg,2026,2586,0,10498000,0.00024633,Luvisol,"0,67",0,Hills,"0,67","0,36","50,2","49,4",Temperate,Without dry season,Warm summer (b),3,loose,1,3,0,0,3,0,0,Yes,Unitary,Democratic,Social Capitalism,3
Republic of Malta,Malta,2026,316,0,10498000,0.00003010,Leptosol,"0,8",0,Archipelagic,"0,8","0,01","36,1","35,8",Temperate,Dry summer,Hot summer (a),1,sea,1,0,0,0,0,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Kingdom of the Netherlands,Netherlands,2026,41543,993,10498000,0.00395723,Fluvisol,"0,85",0,Plains,"0,85","0,11","53,5","50,7",Temperate,Without dry season,Warm summer (b),4,sea,"0,7046",2,0,0,2,1,1,Yes,Unitary,Democratic,Social Capitalism,3
Republic of Poland,Poland,2026,312696,0,10498000,0.02978624,Luvisol,"0,75",2,Plains,"0,75","0,31","54,8",49,Temperate,Without dry season,Warm summer (b),8,loose,"0,6142",7,0,2,4,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Portuguese Republic,Portugal,2026,92212,3115,10498000,0.00878377,Luvisol,"0,5",1,Hills,"0,5","0,36","42,1",37,Temperate,Dry summer,Hot summer (a),3,sea,"0,5962",1,0,0,1,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Romania,Romania,2026,238397,0,10498000,0.02270880,Luvisol,"0,4",1,Plains,"0,36","0,29","48,2","43,6",Continental,Without dry season,Hot summer (a),9,loose,"0,725",5,0,2,5,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Slovak Republic,Slovakia,2026,49035,0,10498000,0.00467089,Leptosol,"0,75",1,Mountains,"0,75","0,4","49,6","47,7",Continental,Without dry season,Warm summer (b),6,mountain,"0,6811",5,0,4,1,0,1,Yes,Unitary,Democratic,Social Capitalism,2
Republic of Slovenia,Slovenia,2026,20273,0,10498000,0.00193113,Leptosol,"0,4",1,Mountains,"0,4","0,61","46,9","45,4",Temperate,Without dry season,Warm summer (b),6,loose,"0,9666",4,0,1,4,1,0,Yes,Unitary,Democratic,Social Capitalism,2
Kingdom of Spain,Spain,2026,505992,13327,10498000,0.04819890,Luvisol,"0,45",1,Plateaus,"0,45","0,37","43,8",36,Temperate,Dry summer,Hot summer (a),7,sea,"0,7163",5,0,2,3,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Kingdom of Sweden,Sweden,2026,450295,0,10498000,0.04289341,Leptosol,"0,6",2,Plains,"0,6","0,69","69,1","55,3",Continental,Without dry season,Cold summer (c),3,sea,"0,5934",2,0,1,0,1,1,Yes,Unitary,Democratic,Social Capitalism,3
United Kingdom,United Kingdom,2026,242495,18000,10498000,0.02309916,Luvisol,"0,55",1,Archipelagic,"0,55","0,13","60,8","49,9",Temperate,Without dry season,Warm summer (b),2,sea,"0,94",1,0,0,1,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Kingdom of Norway,Norway,2026,385207,0,10498000,0.03669337,Leptosol,"0,65",2,Archipelagic,"0,65","0,37","71,1","57,9",Continental,Without dry season,Cold summer (c),4,sea,"0,612",3,0,1,2,1,1,Yes,Unitary,Democratic,Social Capitalism,3
Swiss Confederation,Switzerland,2026,41285,0,10498000,0.00393265,Leptosol,"0,6",1,Mountains,"0,6","0,32","47,8","45,8",Continental,Without dry season,Warm summer (b),5,mountain,"0,585",5,0,3,2,0,1,Yes,Federal,Democratic,Social Capitalism,3
Republic of Iceland,Iceland,2026,103000,0,10498000,0.00981139,Leptosol,"0,7",0,Archipelagic,"0,7","0,02","66,5","63,3",Continental,Without dry season,Cold summer (c),1,sea,1,0,0,0,0,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Ukraine,Ukraine,2026,480000,0,10498000,0.04572299,Chernozem,"0,9",2,Plains,"0,9","0,16","52,3","44,4",Continental,Without dry season,Warm summer (b),8,loose,"0,72",7,0,1,6,1,1,Yes,Unitary,Democratic,Social Capitalism,1
Republic of Belarus,Belarus,2026,207600,0,10498000,0.01977520,Luvisol,"0,95",1,Plains,"0,95","0,43","56,1","51,3",Continental,Without dry season,Warm summer (b),5,loose,1,5,0,0,5,0,0,Yes,Central,Absolute,Socialism,1
Republic of Moldova,Moldova,2026,33846,0,10498000,0.00322404,Chernozem,"0,8",0,Hills,"0,8","0,12","48,4","45,4",Continental,Without dry season,Warm summer (b),3,loose,1,2,0,0,2,0,1,Yes,Unitary,Restricted,Social Capitalism,1
Republic of Serbia,Serbia,2026,77474,0,10498000,0.00737988,Leptosol,"0,55",1,Mountains,"0,55","0,31","46,1","42,2",Temperate,Without dry season,Hot summer (a),8,loose,1,8,0,0,8,0,1,Yes,Unitary,Restricted,Social Capitalism,1
Bosnia and Herzegovina,Bosnia and Herzegovina,2026,51129,0,10498000,0.00487036,Leptosol,"0,8",1,Mountains,"0,8","0,43","45,2","42,5",Temperate,Without dry season,Hot summer (a),4,mountain,"0,51",3,0,2,1,1,0,Yes,Federal,Restricted,Social Capitalism,1
Republic of Albania,Albania,2026,28748,0,10498000,0.00273843,Leptosol,"0,7",0,Mountains,"0,7","0,28","42,6","39,6",Temperate,Dry summer,Hot summer (a),5,sea,"0,534",4,0,2,2,1,0,Yes,Unitary,Restricted,Social Capitalism,1
Republic of North Macedonia,North Macedonia,2026,25713,0,10498000,0.00244932,Leptosol,"0,8",0,Mountains,"0,8","0,39","42,3","40,8",Temperate,Dry summer,Hot summer (a),5,loose,1,5,0,0,5,0,0,Yes,Unitary,Restricted,Social Capitalism,1
Montenegro,Montenegro,2026,13812,0,10498000,0.00131568,Leptosol,"0,8",0,Mountains,"0,8","0,61","43,5","41,8",Temperate,Dry summer,Hot summer (a),6,sea,"0,47",5,0,3,2,1,1,Yes,Unitary,Restricted,Social Capitalism,1
Principality of Andorra,Andorra,2026,468,0,10498000,0.00004458,Leptosol,1,0,Mountains,1,"0,34","42,6","42,4",Continental,Without dry season,Cold summer (c),2,mountain,1,2,0,2,0,0,0,Yes,Unitary,Democratic,Social Capitalism,3
Principality of Liechtenstein,Liechtenstein,2026,160,0,10498000,0.00001524,Leptosol,"0,66",0,Mountains,"0,66","0,43","47,2",47,Continental,Without dry season,Cold summer (c),2,mountain,"0,52",2,0,1,1,0,1,Yes,Unitary,Democratic,Social Capitalism,3
Principality of Monaco,Monaco,2026,2,0,10498000,0.00000019,Leptosol,1,0,Hills,1,0,"43,7","43,7",Temperate,Dry summer,Hot summer (a),2,sea,"0,51",1,0,0,1,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Republic of San Marino,San Marino,2026,61,0,10498000,0.00000581,Leptosol,1,0,Hills,1,"0,16","43,9","43,9",Temperate,Without dry season,Hot summer (a),1,loose,1,1,0,0,1,0,0,Yes,Unitary,Democratic,Social Capitalism,3
Vatican City State,Vatican City,2026,"0,44",0,10498000,0.00000004,Luvisol,1,0,Hills,1,0,"41,9","41,9",Temperate,Dry summer,Hot summer (a),1,loose,1,1,0,0,1,0,0,Yes,Central,Absolute,Socialism,3